"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","TK/GV","Cor"
"*05tur*","Matthew Knies","TOR","F","F","147","btsay45","23","9,600,000","BID","64.33","95%","-2%","74","0","23","41","87","29","135","17","146","30","0.38","-271"
"*03161*","Darnell Nurse","EDM","D","D","149","mertin","31","3,300,000","BID","63.94","66%","-2%","77","22","7","15","29","104","155","2","129","161","0.22","-128"
"*05962*","J.J. Moser","TBL","D","D","150","SPG","25","1,000,000","FA","63.91","33%","-2%","74","28","7","21","35","65","104","3","57","88","0.29","357"
"*05nzz*","Simon Edvinsson","DET","D","D","151","Gavitron","23","3,600,000","BID","63.8","59%","-1%","67","24","9","15","33","73","79","2","87","144","0.30","68"
"*01f3e*","Nazem Kadri","COL","F","F","152","CHKY","35","2,700,000","BID","63.75","86%","-1%","75","0","16","34","66","28","210","19","50","27","0.27","111"
"*03jxy*","Auston Matthews","TOR","F","F","153","btsay45","28","12,900,000","BID","63.33","88%","-1%","60","0","27","26","80","18","227","12","42","81","0.59","-135"
"*02fzj*","Blake Coleman","CGY","F","F","154","mertin","34","1,000,000","BID","63.13","36%","-1%","64","0","19","14","52","47","163","5","146","43","0.39","66"
"*03rf8*","Vince Dunn","SEA","D","D","155","nebsnave","29","2,700,000","BID","63.11","89%","-2%","74","41","11","30","52","44","163","20","22","74","0.33","-215"
"*04uqa*","Vasily Podkolzin","EDM","F","F","156","TommyG10","24","1,000,000","BID","63.1","36%","-2%","77","0","17","17","51","63","128","1","226","45","0.32","123"
"*01mz5*","Dmitry Orlov","SJS","D","D","157","CHKY","34","1,000,000","FA","62.93","41%","+1%","75","34","3","31","37","44","81","16","115","70","0.23","16"
"*03mm6*","Lawson Crouse","UTA","F","F","159","FA","28","1,000,000","FA","62.69","33%","-2%","75","0","21","19","61","44","129","3","198","50","0.31","113"
"*04ymn*","Luke Hughes","NJD","D","D","160","HeatDady","22","5,400,000","BID","62.62","88%","-1%","67","35","6","29","41","28","147","13","17","52","0.26","221"
"*02ybj*","Anthony Mantha","PIT","F","F","161","BHHC","31","1,000,000","FA","62.53","59%","+1%","78","0","31","30","92","39","146","13","51","39","0.23","-30"
"*01zu5*","Justin Faulk","DET","D","D","162","sweinste","34","1,100,000","BID","62.39","69%","-3%","73","35","12","23","47","36","131","10","66","125","0.44","-159"
"*02ytx*","Ryan Hartman","MIN","F","F","163","HeatDady","31","1,000,000","FA","62.38","31%","+4%","73","0","22","19","63","46","161","6","61","94","0.35","-16"
"*01zto*","Charlie Coyle","CBJ","F","F","164","nebsnave","34","1,000,000","FA","62.32","56%","-4%","77","0","18","38","74","14","131","12","100","51","0.64","-45"
"*06age*","Sam Malinski","COL","D","D","165","Lsleeves","27","1,000,000","FA","62.32","51%","+9%","75","37","7","30","44","18","145","1","40","85","0.32","424"
"*04lcs*","Mattias Samuelsson","BUF","D","D","166","mertin","26","1,000,000","FA","62.2","70%","-2%","74","41","13","28","54","28","106","3","126","146","0.21","-160"
"*031og*","Tyler Bertuzzi","CHI","F","F","167","sweinste","31","1,000,000","BID","62.15","71%","-2%","74","0","32","24","88","38","157","21","54","23","0.28","-70"
"*02npl*","Damon Severson","CBJ","D","D","168","nebsnave","31","1,000,000","FA","62.09","17%","-3%","71","32","8","24","40","45","93","4","39","86","0.34","218"
"*0045j*","Kris Letang","PIT","D","D","170","mertin","38","1,200,000","BID","61.36","60%","0%","72","33","3","30","36","38","104","10","95","92","0.27","-47"
"*02yjj*","William Nylander","TOR","F","F","171","CHKY","29","9,100,000","BID","61.32","98%","-1%","60","0","26","47","99","16","142","20","10","23","0.46","-106"
"*048x9*","Elias Pettersson","VAN","F","F","172","sweinste","27","9,500,000","BID","61.3","85%","-1%","68","0","15","33","63","20","119","22","61","103","0.47","-135"
"*03l0t*","Pavel Zacha","BOS","F","F","173","sweinste","28","1,000,000","FA","61.2","73%","0%","75","0","29","33","91","28","127","22","64","26","0.29","-46"
"*03rae*","Joel Eriksson Ek","MIN","F","F","175","BHHC","29","2,500,000","BID","60.91","86%","-2%","68","0","18","30","66","30","185","16","104","31","0.46","-32"
"*02g00*","Aaron Ekblad","FLA","D","D","176","Lsleeves","30","2,600,000","BID","60.9","67%","-2%","72","26","4","22","30","55","97","6","84","103","0.29","106"
"*04z51*","Charle-Edouard D'Astous","TBL","D","D","177","Gavitron","27","1,000,000","FA","60.72","24%","+2%","64","29","6","23","35","88","70","2","90","68","0.35","102"
"*04ldb*","Bowen Byram","BUF","D","D","179","Gavitron","24","3,500,000","BID","60.5","70%","-3%","77","39","11","28","50","48","105","8","50","90","0.23","-37"
"*05gdo*","Luke Evangelista","NSH","F","F","180","Gavitron","24","1,000,000","FA","60.39","45%","-2%","75","0","10","41","61","28","163","16","17","20","0.42","300"
"*03ekl*","Vladislav Gavrikov","NYR","D","D","181","Gavitron","30","1,700,000","BID","60.36","34%","-8%","78","33","14","19","47","48","110","7","48","102","0.22","-25"
"*01f5z*","Chris Kreider","ANA","F","F","182","CHKY","34","1,000,000","FA","60.26","60%","+1%","71","0","22","25","69","30","132","17","66","20","0.24","224"
