"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*04qy5*","Kirill Marchenko","CBJ","F","F","","105","TommyG10","26","8,300,000","BID","76.92","99%","0%","79","0","28","39","95","29","219","23","61","41","0","0"
"*042ye*","Jesper Bratt","NJD","F","F","","107","TommyG10","28","8,300,000","BID","76.83","99%","0%","84","0","24","54","102","13","191","26","79","28","0","0"
"*04ymt*","Lucas Raymond","DET","F","F","","110","SPG","24","5,800,000","BID","76.62","98%","0%","82","0","27","51","105","24","179","27","46","31","0","0"
"*01zql*","Brock Nelson","COL","F","F","","111","Wags8210","34","2,700,000","BID","76.37","87%","0%","83","0","33","34","100","34","199","18","39","61","0","0"
"*02azf*","Dougie Hamilton","NJD","D","D","","112","nebsnave","33","2,610,000","BID","76.23","88%","0%","72","38","11","27","49","46","191","14","80","75","0","0"
"*05tur*","Matthew Knies","TOR","F","F","","113","btsay45","23","9,600,000","BID","76.18","98%","0%","81","0","24","39","87","34","143","17","162","34","0","0"
"*04kyn*","Sean Walker","CAR","D","D","","114","BHHC","31","2,700,000","BID","75.87","63%","0%","81","30","9","21","39","56","171","3","132","121","0","0"
"*02unz*","Nick Schmaltz","UTA","F","F","","115","PuckLuck","30","5,400,000","BID","75.82","95%","0%","84","0","31","42","104","25","203","22","22","51","0","0"
"*0579x*","Adam Fantilli","CBJ","F","F","","117","BULLIES","21","5,200,000","BID","75.27","95%","-1%","81","0","25","32","82","35","207","10","130","50","0","0"
"*04znw*","Brandt Clarke","LAK","D","D","","118","nbracken","23","6,000,000","RFA1","75.25","98%","0%","78","36","7","29","43","56","145","11","28","163","0","0"
"*03de2*","Brandon Montour","SEA","D","D","","119","mcianfra","32","7,400,000","BID","75.23","87%","0%","69","35","12","23","47","51","187","11","81","83","0","0"
"*004jl*","Brad Marchand","FLA","F","F","","120","M.M","38","4,200,000","BID","75.17","80%","-2%","69","0","26","31","83","56","185","24","61","26","0","0"
