"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*04qve*","K'Andre Miller","CAR","D","D","","81","SPG","26","4,500,000","RFA1","74.52","71%","-1%","72","37","8","29","45","56","123","6","101","79","44","621"
"*03jvu*","Mitch Marner","VGK","F","F","","82","nebsnave","29","11,400,000","BID","74.49","99%","0%","81","0","24","56","104","24","165","25","24","46","40","188"
"*03c0c*","Josh Manson","COL","D","D","","84","mertin","34","1,000,000","FA","73.52","40%","-2%","79","31","5","26","36","91","128","0","174","99","26","324"
"*04o0h*","Dylan Guenther","UTA","F","F","","86","Wags8210","23","5,900,000","BID","73.33","100%","0%","79","0","40","33","113","28","242","24","66","28","16","171"
"*04bdb*","Jack Hughes","NJD","F","F","","87","CGN","25","11,500,000","BID","73.27","100%","0%","61","0","27","50","104","10","228","25","4","32","37","316"
"*01f6d*","Ryan O'Reilly","NSH","F","F","","88","M.M","35","6,000,000","BID","73.18","88%","0%","81","0","25","49","99","22","154","23","17","66","50","86"
"*02nok*","Tomas Hertl","VGK","F","F","","89","mertin","32","3,500,000","BID","73.17","86%","-1%","82","0","24","34","82","39","202","25","114","45","17","270"
"*05rjd*","Cutter Gauthier","ANA","F","F","","90","M.M","22","2,900,000","BID","72.22","99%","0%","76","0","41","28","110","28","285","19","64","20","19","225"
"*01fx3*","Roman Josi","NSH","D","D","","91","SPG","36","3,400,000","BID","72.08","98%","0%","68","55","13","42","68","30","181","24","24","101","23","-28"
"*01zql*","Brock Nelson","COL","F","F","","92","Wags8210","34","2,700,000","BID","72.03","87%","0%","81","0","33","32","98","36","186","19","38","65","21","326"
"*0579x*","Adam Fantilli","CBJ","F","F","","93","BULLIES","21","5,200,000","BID","71.72","95%","-1%","82","0","24","35","83","38","214","13","139","51","25","104"
"*042w4*","Adam Fox","NYR","D","D","","96","ROO","28","11,300,000","BID","71.46","100%","0%","55","53","9","44","62","20","91","25","24","74","36","234"
"*03kra*","Kyle Connor","WPG","F","F","","97","mertin","29","9,300,000","BID","71.34","99%","0%","82","0","39","53","131","16","274","22","36","19","21","17"
"*03bfj*","Artemi Panarin","LAK","F","F","","98","TommyG10","34","7,000,000","BID","71.29","97%","0%","78","0","28","56","112","20","224","23","11","16","25","264"
"*02azf*","Dougie Hamilton","NJD","D","D","","100","nebsnave","33","2,610,000","BID","71.1","88%","0%","77","39","12","27","51","50","203","14","87","77","14","238"
"*05y3a*","Leo Carlsson","ANA","F","F","","101","M.M","21","7,680,000","RFA1","71.08","96%","0%","70","0","29","38","96","33","193","21","14","29","34","281"
"*03duf*","Dylan Larkin","DET","F","F","","102","Wags8210","30","6,400,000","BID","70.75","98%","0%","74","0","34","33","101","48","229","25","46","33","18","52"
"*03mn9*","Mikko Rantanen","DAL","F","F","","104","mertin","29","12,000,000","BID","70.53","100%","0%","64","0","22","55","99","93","139","34","48","30","24","-142"
"*04ld3*","Noah Dobson","MTL","D","D","","105","TommyG10","26","5,800,000","BID","70.38","97%","0%","80","47","12","35","59","34","158","8","62","188","36","-115"
"*02dq3*","Jacob Trouba","SJS","D","D","","106","mcianfra","32","1,500,000","BID","70.27","76%","-1%","81","35","10","25","45","31","166","2","143","149","22","114"
"*04zo0*","Pavel Dorofeyev","NYR","F","F","","107","nebsnave","25","2,800,000","BID","70.27","93%","0%","82","0","37","27","101","24","230","30","27","28","17","241"
"*03as8*","Nikolaj Ehlers","CAR","F","F","","110","BHHC","30","5,000,000","BID","70.16","95%","0%","82","0","26","45","97","14","207","29","21","24","24","432"
"*04ymt*","Lucas Raymond","DET","F","F","","112","SPG","24","5,800,000","BID","70.04","98%","0%","80","0","25","51","101","22","173","27","43","29","31","81"
"*06hcw*","Beckett Sennecke","ANA","F","F","","113","btsay45","20","1,500,000","ELC1","69.94","98%","0%","82","0","23","37","83","62","197","14","97","24","26","98"
"*05lu8*","Alexander Nikishin","CAR","D","D","","114","BHHC","24","0","MNR","69.75","80%","-4%","81","33","11","22","44","33","122","11","132","94","26","405"
"*02b76*","Vincent Trocheck","UTA","F","F","","116","BHHC","33","6,800,000","BID","69.49","89%","0%","67","0","16","37","69","64","114","18","193","49","27","32"
"*00454*","Sidney Crosby","PIT","F","F","","117","M.M","39","6,000,000","BID","69.35","100%","0%","68","0","29","45","103","44","160","23","60","30","24","31"
"*042ye*","Jesper Bratt","NJD","F","F","","118","TommyG10","28","8,300,000","BID","69.08","99%","0%","82","0","22","49","93","12","178","22","74","24","24","366"
"*01zvf*","Mark Stone","VGK","F","F","","119","nbracken","34","2,800,000","BID","69.01","94%","0%","60","0","28","45","101","9","130","29","31","47","28","219"
"*04a9v*","Morgan Geekie","BOS","F","F","","120","mcianfra","28","2,800,000","BID","68.43","98%","0%","81","0","39","29","107","22","181","24","110","34","20","-28"
"*03ra8*","Timo Meier","NJD","F","F","","121","M.M","29","5,500,000","BID","68.3","84%","-1%","77","0","24","20","68","22","269","10","131","53","27","240"
"*02ybn*","Josh Morrissey","WPG","D","D","","122","PuckLuck","31","5,100,000","BID","68.07","100%","0%","77","55","14","41","69","30","146","16","36","118","17","-37"
"*04y8g*","Trevor Zegras","PHI","F","F","","123","CGN","25","7,850,000","RFA1","67.79","92%","-1%","81","0","26","41","93","62","167","23","46","28","25","1"
"*04lo0*","Quinton Byfield","LAK","F","F","","124","BULLIES","24","8,900,000","BID","67.67","92%","-1%","79","0","24","25","73","46","180","12","66","44","37","175"
"*024lv*","Mattias Ekholm","EDM","D","D","","125","CGN","36","1,000,000","BID","67.66","77%","+1%","82","41","6","35","47","30","131","3","65","125","25","357"
"*04ln4*","Kiefer Sherwood","SJS","F","F","","126","M.M","31","5,200,000","BID","67.44","68%","-2%","72","0","23","13","59","50","172","13","339","30","26","127"
"*004cq*","Alex Ovechkin","WSH","F","F","","127","M.M","41","4,400,000","BID","67.15","96%","0%","82","0","32","32","96","26","244","19","134","16","9","53"
"*03yh8*","Owen Tippett","PHI","F","F","","128","M.M","27","4,900,000","BID","66.48","81%","-1%","81","0","28","23","79","32","220","10","166","50","28","-48"
"*02nq3*","Shayne Gostisbehere","CAR","D","D","","129","SPG","33","3,700,000","BID","66.45","99%","0%","55","50","13","37","63","22","116","18","29","63","19","332"
"*05r3d*","Josh Doan","BUF","F","F","","130","nbracken","24","3,420,000","BID","66.41","77%","-2%","82","0","25","27","77","25","170","17","78","31","46","56"
"*03167*","Bo Horvat","NYI","F","F","","132","TommyG10","31","4,000,000","BID","66.04","93%","-1%","68","0","31","26","88","40","226","17","51","38","19","104"
